method,dataset,N,pred_len,seed,MSE,MAE,model_id
anti_clustering,electricity,321,720,2046,0.21224015951156616,0.3026588261127472,gi_anti_clustering_electricity_pl720_s2046
anti_clustering,electricity,321,720,2047,0.22138726711273193,0.3118543028831482,gi_anti_clustering_electricity_pl720_s2047
anti_clustering,electricity,321,720,2048,0.21690520644187927,0.3076179325580597,gi_anti_clustering_electricity_pl720_s2048
anti_clustering,electricity,321,720,2049,0.21334241330623627,0.3038892447948456,gi_anti_clustering_electricity_pl720_s2049
anti_clustering,electricity,321,720,2050,0.21646378934383392,0.3069213032722473,gi_anti_clustering_electricity_pl720_s2050
anti_clustering,electricity,321,96,2021,0.1465039700269699,0.238448366522789,gi_anti_clustering_electricity_pl96_s2021
anti_clustering,electricity,321,96,2022,0.14660003781318665,0.2385779172182083,gi_anti_clustering_electricity_pl96_s2022
anti_clustering,electricity,321,96,2023,0.14661812782287598,0.23847274482250214,gi_anti_clustering_electricity_pl96_s2023
anti_clustering,electricity,321,96,2024,0.1467052847146988,0.2386651188135147,gi_anti_clustering_electricity_pl96_s2024
anti_clustering,electricity,321,96,2025,0.14687524735927582,0.2385352998971939,gi_anti_clustering_electricity_pl96_s2025
anti_clustering,electricity,321,96,2026,0.14711634814739227,0.23898044228553772,gi_anti_clustering_electricity_pl96_s2026
anti_clustering,electricity,321,96,2027,0.14677219092845917,0.23867087066173553,gi_anti_clustering_electricity_pl96_s2027
anti_clustering,electricity,321,96,2028,0.1468423306941986,0.2387324720621109,gi_anti_clustering_electricity_pl96_s2028
anti_clustering,electricity,321,96,2029,0.1471272110939026,0.23908363282680511,gi_anti_clustering_electricity_pl96_s2029
anti_clustering,electricity,321,96,2030,0.1471216380596161,0.23903188109397888,gi_anti_clustering_electricity_pl96_s2030
anti_clustering,electricity,321,96,2031,0.14709869027137756,0.23899482190608978,gi_anti_clustering_electricity_pl96_s2031
anti_clustering,electricity,321,96,2032,0.1460554003715515,0.23816266655921936,gi_anti_clustering_electricity_pl96_s2032
anti_clustering,electricity,321,96,2033,0.14684197306632996,0.23873887956142426,gi_anti_clustering_electricity_pl96_s2033
anti_clustering,electricity,321,96,2034,0.14791573584079742,0.23943014442920685,gi_anti_clustering_electricity_pl96_s2034
anti_clustering,electricity,321,96,2035,0.14656546711921692,0.23836220800876617,gi_anti_clustering_electricity_pl96_s2035
anti_clustering,electricity,321,96,2036,0.14824984967708588,0.2397082895040512,gi_anti_clustering_electricity_pl96_s2036
anti_clustering,electricity,321,96,2037,0.147126704454422,0.23872558772563934,gi_anti_clustering_electricity_pl96_s2037
anti_clustering,electricity,321,96,2038,0.1460731029510498,0.23831263184547424,gi_anti_clustering_electricity_pl96_s2038
anti_clustering,electricity,321,96,2039,0.146724134683609,0.23857304453849792,gi_anti_clustering_electricity_pl96_s2039
anti_clustering,electricity,321,96,2040,0.14715330302715302,0.2385324090719223,gi_anti_clustering_electricity_pl96_s2040
anti_clustering,electricity,321,96,2041,0.1475028693675995,0.2388785034418106,gi_anti_clustering_electricity_pl96_s2041
anti_clustering,electricity,321,96,2042,0.14649106562137604,0.23843778669834137,gi_anti_clustering_electricity_pl96_s2042
anti_clustering,electricity,321,96,2043,0.14725202322006226,0.2389707863330841,gi_anti_clustering_electricity_pl96_s2043
anti_clustering,electricity,321,96,2044,0.14732146263122559,0.23908373713493347,gi_anti_clustering_electricity_pl96_s2044
anti_clustering,electricity,321,96,2045,0.14683659374713898,0.23855836689472198,gi_anti_clustering_electricity_pl96_s2045
anti_clustering,electricity,321,96,2046,0.14736410975456238,0.23900192975997925,gi_anti_clustering_electricity_pl96_s2046
anti_clustering,electricity,321,96,2047,0.14715006947517395,0.23853875696659088,gi_anti_clustering_electricity_pl96_s2047
anti_clustering,electricity,321,96,2048,0.1470901370048523,0.23885244131088257,gi_anti_clustering_electricity_pl96_s2048
anti_clustering,electricity,321,96,2049,0.1473490446805954,0.23885443806648254,gi_anti_clustering_electricity_pl96_s2049
