method,pl,seed,mse,epoch1_loss,is_anomalous
coarsening,96,2025,0.396179050207138,0.4002557,False
coarsening,96,2026,0.3942552208900451,0.4118225,False
coarsening,96,2027,0.3976541459560394,0.4111997,False
coarsening,96,2028,0.3961621224880218,0.4056717,False
coarsening,96,2029,0.395766407251358,0.4154068,False
coarsening,96,2030,0.3937015831470489,0.4150399,False
coarsening,96,2031,0.3936381638050079,0.4120416,False
coarsening,96,2032,0.3971465528011322,0.4128038,False
coarsening,96,2033,0.3970442116260528,0.4238882,False
coarsening,96,2034,0.3949304521083832,0.418346,False
coarsening,96,2035,0.3976391851902008,0.4048194,False
coarsening,96,2036,0.3978570103645324,0.414751,False
coarsening,96,2037,0.3970871567726135,0.4250134,False
coarsening,96,2038,0.3940732777118683,0.412776,False
coarsening,96,2039,0.3965345919132232,0.4054543,False
coarsening,96,2040,0.3970585167407989,0.4060614,False
coarsening,96,2041,0.3957648277282715,0.4038215,False
coarsening,96,2042,0.3947179615497589,0.4090657,False
coarsening,96,2043,0.3966846168041229,0.4281655,False
coarsening,96,2044,0.3934145867824554,0.4121798,False
coarsening,96,2045,0.3936508595943451,0.4264835,False
coarsening,96,2046,0.398208349943161,0.4109326,False
coarsening,96,2047,0.3947484791278839,0.4202605,False
coarsening,96,2048,0.3934781849384308,0.4090147,False
coarsening,96,2049,0.3964441120624542,0.425312,False
coarsening,96,2050,0.3991867899894714,0.4068274,False
finch_like,192,2021,0.4167906939983368,0.3787391,False
finch_like,192,2022,0.4165482223033905,0.3805688,False
finch_like,192,2023,0.4162698984146118,0.3777192,False
finch_like,192,2024,0.4159752428531647,0.3869891,False
finch_like,192,2025,0.4157289266586303,0.3833561,False
finch_like,192,2026,0.4156749546527862,0.3752811,False
finch_like,192,2027,0.4166603088378906,0.3815738,False
finch_like,192,2028,0.4161305427551269,0.3803022,False
finch_like,192,2029,0.4161229729652405,0.3838547,False
finch_like,192,2030,0.4161252677440643,0.3814817,False
finch_like,192,2031,0.4165243804454803,0.3823137,False
finch_like,192,2032,0.4165339171886444,0.3906878,False
finch_like,192,2033,0.4158373177051544,0.3779166,False
finch_like,192,2034,0.4169091284275055,0.3835001,False
finch_like,192,2035,0.4162147641181946,0.3826057,False
finch_like,192,2036,0.4169766008853912,0.3850369,False
finch_like,192,2037,0.41598641872406,0.3930322,False
finch_like,192,2038,0.4162426888942718,0.3822805,False
finch_like,192,2039,0.4170730113983154,0.3879855,False
finch_like,192,2040,0.4171631336212158,0.394055,False
finch_like,192,2041,0.4163245856761932,0.3836004,False
finch_like,192,2042,0.4159595370292663,0.3914202,False
finch_like,192,2043,0.4170012474060058,0.3898861,False
finch_like,192,2044,0.4161810278892517,0.3852688,False
finch_like,192,2045,0.4171647131443023,0.3896053,False
finch_like,192,2046,0.4155542254447937,0.3776012,False
finch_like,192,2047,0.4166805744171142,0.3909668,False
finch_like,192,2048,0.4174577593803406,0.3816048,False
finch_like,192,2049,0.4160118699073791,0.383568,False
finch_like,192,2050,0.4158906638622284,0.3852195,False
finch_like,336,2021,0.4318458437919616,0.3876547,False
finch_like,336,2022,0.4311257004737854,0.3891775,False
finch_like,336,2023,0.4313975870609283,0.3948096,False
finch_like,336,2024,0.4311091601848602,0.400351,False
finch_like,336,2025,0.4309718608856201,0.4067774,False
finch_like,336,2026,0.4311240017414093,0.3964943,False
finch_like,336,2027,0.4323846399784088,0.4299983,False
