model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
VG_iFlashformer_SF,,traffic,862,720,6.2750,6.7735,1.5703,0.4378,76.5212,12.6606
VG_iFlashformer_SF,,electricity,321,96,1.6811,4.8650,0.4320,0.1599,29.7424,5.6279
VG_iFlashformer_SF,,electricity,321,192,1.6971,4.9142,0.4393,0.1653,31.1830,5.7476
VG_iFlashformer_SF,,electricity,321,336,1.7211,4.9881,0.4632,0.1726,31.1961,6.1337
VG_iFlashformer_SF,,electricity,321,720,1.7850,5.1851,0.5283,0.1979,37.1586,6.2090
VG_iFlashformer_SF,,solar_AL,137,96,0.4711,3.2766,0.3373,0.1308,22.8058,4.3114
VG_iFlashformer_SF,,solar_AL,137,192,0.4778,3.3259,0.3456,0.1354,23.8682,4.1739
VG_iFlashformer_SF,,solar_AL,137,336,0.4879,3.3998,0.3535,0.1429,23.8633,4.3292
VG_iFlashformer_SF,,solar_AL,137,720,0.5148,3.5968,0.3851,0.1623,26.7055,4.3674
VG_iFlashformer_SF,,kamp,228,96,1.1917,4.8650,0.4189,0.1350,21.4726,5.1376
VG_iFlashformer_SF,,kamp,228,192,1.2031,4.9142,0.4263,0.1389,21.3491,4.9027
VG_iFlashformer_SF,,kamp,228,336,1.2202,4.9881,0.4335,0.1471,22.1349,5.0537
VG_iFlashformer_SF,,kamp,228,720,1.2658,5.1851,0.4587,0.1619,25.2412,4.9373
VG_iFlashformer_SF,,care_wind,238,96,1.2462,4.8650,0.4238,0.1362,26.1955,4.9470
VG_iFlashformer_SF,,care_wind,238,192,1.2581,4.9142,0.4305,0.1416,23.9582,5.0926
VG_iFlashformer_SF,,care_wind,238,336,1.2760,4.9881,0.4399,0.1481,22.1132,5.0146
VG_iFlashformer_SF,,care_wind,238,720,1.3235,5.1851,0.4678,0.1646,24.7913,5.0054
VG_iFlashformer_SF,,basf,244,96,1.2752,4.8650,0.4252,0.1368,23.0226,4.8055
VG_iFlashformer_SF,,basf,244,192,1.2874,4.9142,0.4314,0.1416,21.8407,4.8703
VG_iFlashformer_SF,,basf,244,336,1.3057,4.9881,0.4400,0.1488,25.4270,4.8939
VG_iFlashformer_SF,,basf,244,720,1.3544,5.1851,0.4668,0.1662,26.7624,4.8329
VG_iFlashformer_SF,,sdwpf,2144,96,11.2850,4.8650,1.2451,0.3885,39.2751,10.6114
VG_iFlashformer_SF,,sdwpf,2144,192,11.3906,4.9142,1.2710,0.4070,42.5941,10.7631
VG_iFlashformer_SF,,sdwpf,2144,336,11.5490,4.9881,1.3454,0.4371,47.7178,10.8727
