model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
DLinear,,solar_AL,137,336,2021,0.3524453938007355,0.4151826798915863,dlinear_tslib_solar_AL_pl336_s2021
DLinear,,solar_AL,137,336,2022,0.35228589177131653,0.414964884519577,dlinear_tslib_solar_AL_pl336_s2022
DLinear,,solar_AL,137,336,2023,0.3527132272720337,0.4151686131954193,dlinear_tslib_solar_AL_pl336_s2023
DLinear,,solar_AL,137,336,2024,0.3523465394973755,0.4150471091270447,dlinear_tslib_solar_AL_pl336_s2024
DLinear,,solar_AL,137,336,2025,0.3523977994918823,0.4149059057235718,dlinear_tslib_solar_AL_pl336_s2025
DLinear,,solar_AL,137,720,2021,0.3566710352897644,0.41291630268096924,dlinear_tslib_solar_AL_pl720_s2021
DLinear,,solar_AL,137,720,2022,0.3568028509616852,0.41319140791893005,dlinear_tslib_solar_AL_pl720_s2022
DLinear,,solar_AL,137,720,2023,0.35676443576812744,0.4138045608997345,dlinear_tslib_solar_AL_pl720_s2023
DLinear,,solar_AL,137,720,2024,0.35689428448677063,0.41240575909614563,dlinear_tslib_solar_AL_pl720_s2024
DLinear,,solar_AL,137,720,2025,0.35655486583709717,0.4127821624279022,dlinear_tslib_solar_AL_pl720_s2025
DLinear,,traffic,862,96,2021,0.6965355277061462,0.4287325143814087,dlinear_tslib_traffic_pl96_s2021
DLinear,,traffic,862,96,2022,0.6963828802108765,0.42854538559913635,dlinear_tslib_traffic_pl96_s2022
DLinear,,traffic,862,96,2023,0.6966668367385864,0.4289122521877289,dlinear_tslib_traffic_pl96_s2023
DLinear,,traffic,862,96,2024,0.6963850259780884,0.42888563871383667,dlinear_tslib_traffic_pl96_s2024
DLinear,,traffic,862,96,2025,0.6964166164398193,0.42881208658218384,dlinear_tslib_traffic_pl96_s2025
DLinear,,traffic,862,192,2021,0.6466024518013,0.4074356257915497,dlinear_tslib_traffic_pl192_s2021
DLinear,,traffic,862,192,2022,0.6465403437614441,0.40739327669143677,dlinear_tslib_traffic_pl192_s2022
DLinear,,traffic,862,192,2023,0.6465700268745422,0.4073531925678253,dlinear_tslib_traffic_pl192_s2023
DLinear,,traffic,862,192,2024,0.6466587781906128,0.4072861075401306,dlinear_tslib_traffic_pl192_s2024
DLinear,,traffic,862,192,2025,0.6471205353736877,0.4075605869293213,dlinear_tslib_traffic_pl192_s2025
DLinear,,traffic,862,336,2021,0.6532537341117859,0.4097484052181244,dlinear_tslib_traffic_pl336_s2021
DLinear,,traffic,862,336,2022,0.6530855894088745,0.40974506735801697,dlinear_tslib_traffic_pl336_s2022
DLinear,,traffic,862,336,2023,0.6532171368598938,0.4097909927368164,dlinear_tslib_traffic_pl336_s2023
DLinear,,traffic,862,336,2024,0.6533591747283936,0.4097640812397003,dlinear_tslib_traffic_pl336_s2024
DLinear,,traffic,862,336,2025,0.6535078287124634,0.4098011255264282,dlinear_tslib_traffic_pl336_s2025
DLinear,,traffic,862,720,2021,0.693909764289856,0.4285745322704315,dlinear_tslib_traffic_pl720_s2021
DLinear,,traffic,862,720,2022,0.6938514113426208,0.4284827709197998,dlinear_tslib_traffic_pl720_s2022
DLinear,,traffic,862,720,2023,0.6940073370933533,0.42861753702163696,dlinear_tslib_traffic_pl720_s2023
DLinear,,traffic,862,720,2024,0.6944746375083923,0.428817480802536,dlinear_tslib_traffic_pl720_s2024
DLinear,,traffic,862,720,2025,0.6939735412597656,0.42865949869155884,dlinear_tslib_traffic_pl720_s2025
Gateformer,,electricity,321,96,2021,0.14678677916526794,0.23886685073375702,gate_electricity_pl96_s2021
Gateformer,,electricity,321,96,2022,0.14764468371868134,0.23973636329174042,gate_electricity_pl96_s2022
Gateformer,,electricity,321,96,2023,0.1475086212158203,0.23962882161140442,gate_electricity_pl96_s2023
Gateformer,,electricity,321,96,2024,0.14634448289871216,0.23900437355041504,gate_electricity_pl96_s2024
Gateformer,,electricity,321,96,2025,0.14727066457271576,0.23949436843395233,gate_electricity_pl96_s2025
Gateformer,,electricity,321,192,2021,0.16172704100608826,0.2541818916797638,gate_electricity_pl192_s2021
Gateformer,,electricity,321,192,2022,0.16175314784049988,0.25473299622535706,gate_electricity_pl192_s2022
Gateformer,,electricity,321,192,2023,0.16097038984298706,0.2538505494594574,gate_electricity_pl192_s2023
Gateformer,,electricity,321,192,2024,0.16113942861557007,0.25359195470809937,gate_electricity_pl192_s2024
Gateformer,,electricity,321,192,2025,0.1612226366996765,0.2539885640144348,gate_electricity_pl192_s2025
Gateformer,,electricity,321,336,2021,0.17762067914009094,0.2703571021556854,gate_electricity_pl336_s2021
Gateformer,,electricity,321,336,2022,0.17644944787025452,0.270236611366272,gate_electricity_pl336_s2022
Gateformer,,electricity,321,336,2023,0.1756221354007721,0.26944369077682495,gate_electricity_pl336_s2023
Gateformer,,electricity,321,336,2024,0.17727193236351013,0.2712303400039673,gate_electricity_pl336_s2024
Gateformer,,electricity,321,336,2025,0.1775873899459839,0.27140146493911743,gate_electricity_pl336_s2025
Gateformer,,electricity,321,720,2021,0.2258727252483368,0.30899685621261597,gate_electricity_pl720_s2021
Gateformer,,electricity,321,720,2022,0.21687398850917816,0.3016984164714813,gate_electricity_pl720_s2022
Gateformer,,electricity,321,720,2023,0.22807016968727112,0.3105577826499939,gate_electricity_pl720_s2023
Gateformer,,electricity,321,720,2024,0.21576283872127533,0.3013404905796051,gate_electricity_pl720_s2024
Gateformer,,electricity,321,720,2025,0.22265969216823578,0.3066254258155823,gate_electricity_pl720_s2025
Gateformer,,solar_AL,137,96,2021,0.19396115839481354,0.23434047400951385,gate_solar_AL_pl96_s2021
Gateformer,,solar_AL,137,96,2022,0.18818265199661255,0.2239958941936493,gate_solar_AL_pl96_s2022
